iter	Logloss
0	0.3866801273
1	0.3286481991
2	0.3164174264
3	0.3135988632
4	0.3129326057
5	0.3127569469
6	0.312703596
7	0.3126413791
8	0.3126018064
9	0.3125841482
10	0.3125549302
11	0.31250883
12	0.3124842821
13	0.3124674664
14	0.3124473118
15	0.3124147856
16	0.3123914842
17	0.3123655927
18	0.3123498423
19	0.3123312547
20	0.3123078141
21	0.3122807237
22	0.3122711559
23	0.312233497
24	0.3121945641
25	0.3121673346
26	0.3121372751
27	0.3121131833
28	0.3120855632
29	0.3120420646
30	0.3120100153
31	0.3119534063
32	0.3119314042
33	0.3118827978
34	0.3118445668
35	0.3118189159
36	0.3117791457
37	0.3117415244
38	0.3117311134
39	0.3117083644
40	0.3116810888
41	0.3116446134
42	0.3115999986
43	0.3115643825
44	0.3115224465
45	0.3114741422
46	0.3114471051
47	0.3114154574
48	0.3113833252
49	0.3113620998
50	0.311335389
51	0.3112982127
52	0.311270438
53	0.3112537912
54	0.3112308295
55	0.3111988091
56	0.3111859636
57	0.3111415181
58	0.3111057328
59	0.3110727569
60	0.3110557368
61	0.3110266115
62	0.3109962544
63	0.3109666969
64	0.3109456386
65	0.3109232077
66	0.3108899581
67	0.3108812934
68	0.3108593898
69	0.3108241063
70	0.3107913114
71	0.3107720616
72	0.3107461746
73	0.3107158777
74	0.3106705207
75	0.3106438315
76	0.3106234295
77	0.3105719476
78	0.3105494588
79	0.3105188872
80	0.31048899
81	0.3104559467
82	0.3104331619
83	0.3104150572
84	0.3103873114
85	0.3103563362
86	0.3103194007
87	0.3103041893
88	0.3102783878
89	0.3102531172
90	0.3102208462
91	0.3101870843
92	0.3101654718
93	0.3101418185
94	0.310122407
95	0.3101019389
96	0.3100627427
97	0.3100387537
98	0.3100047866
99	0.3099878216
