iter	Passed	Remaining
0	70	7002
1	91	4472
2	106	3443
3	116	2806
4	128	2444
5	140	2201
6	152	2027
7	163	1880
8	175	1775
9	187	1688
10	198	1606
11	211	1551
12	222	1491
13	232	1430
14	243	1381
15	258	1356
16	269	1316
17	280	1276
18	292	1244
19	304	1219
20	315	1187
21	327	1161
22	340	1139
23	351	1114
24	363	1089
25	376	1070
26	388	1049
27	399	1027
28	410	1005
29	423	987
30	435	968
31	446	948
32	456	927
33	467	908
34	478	888
35	490	871
36	501	854
37	511	834
38	523	818
39	535	803
40	544	784
41	557	769
42	568	754
43	579	737
44	590	722
45	603	708
46	615	693
47	625	677
48	637	663
49	649	649
50	660	634
51	671	620
52	684	606
53	695	592
54	707	578
55	719	565
56	730	550
57	742	537
58	754	524
59	766	511
60	776	496
61	788	483
62	800	470
63	810	456
64	822	442
65	835	430
66	846	417
67	857	403
68	868	390
69	879	377
70	890	363
71	902	351
72	914	338
73	925	325
74	937	312
75	949	299
76	959	286
77	972	274
78	984	261
79	996	249
80	1007	236
81	1018	223
82	1031	211
83	1042	198
84	1054	186
85	1066	173
86	1077	160
87	1088	148
88	1101	136
89	1113	123
90	1123	111
91	1137	98
92	1149	86
93	1162	74
94	1173	61
95	1185	49
96	1198	37
97	1210	24
98	1221	12
99	1233	0
